driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,1,3,0,True,7.36,1.0
0,1,3,1,False,11.985,9.0
0,1,3,2,False,12.4138,9.0
0,1,3,3,False,13.1969,9.0
0,1,3,4,False,13.7539,9.0
0,1,3,5,False,14.3762,10.0
0,1,3,6,False,15.4226,9.0
0,1,3,7,False,15.7984,9.0
0,1,3,8,False,16.3458,9.0
0,1,3,9,False,17.1303,9.0
0,1,3,10,False,17.7019,9.0
0,1,3,11,False,18.2364,9.0
0,1,3,12,False,18.7391,9.0
0,1,3,13,False,19.2018,9.0
0,1,3,14,False,19.6439,9.0
0,1,3,15,False,19.9154,9.0
0,1,3,16,False,20.1824,9.0
0,1,3,17,False,20.7009,9.0
0,1,3,18,False,21.2333,9.0
0,1,3,19,False,21.9172,9.0
0,1,3,20,False,22.4912,9.0
0,1,3,21,False,23.2517,9.0
0,1,3,22,False,23.6523,9.0
0,1,3,23,False,24.5784,9.0
0,1,3,24,False,25.6318,9.0
0,1,3,25,False,26.4862,9.0
0,1,3,26,False,27.055,9.0
0,1,3,27,False,27.5486,9.0
0,1,3,28,False,28.1024,9.0
0,1,3,29,False,28.6498,9.0
0,1,3,30,False,29.0201,9.0
0,1,3,31,False,29.4865,9.0
0,1,3,32,False,29.9016,9.0
0,1,3,33,False,30.4373,9.0
0,1,3,34,False,31.1376,9.0
0,1,3,35,False,31.714,9.0
0,1,3,36,True,32.2071,9.0
0,1,3,37,False,32.7625,9.0
0,1,3,38,False,33.0204,9.0
0,1,3,39,False,33.5747,9.0
0,1,3,40,False,34.2142,9.0
0,1,3,41,False,34.8708,9.0
0,1,3,42,False,35.5051,9.0
0,1,3,43,False,36.0331,9.0
0,1,3,44,False,36.6037,9.0
0,1,3,45,False,36.9556,9.0
0,1,3,46,False,37.3048,9.0
0,1,3,47,False,37.7403,9.0
0,1,3,48,False,38.1282,9.0
0,1,3,49,False,38.5004,9.0
0,1,3,50,False,38.8632,9.0
0,1,3,51,False,39.3388,9.0
0,1,3,52,False,39.8038,9.0
0,1,3,53,False,40.2783,9.0
0,1,3,54,False,40.7445,9.0
0,1,3,55,False,41.0987,9.0
0,1,3,56,False,41.4534,9.0
0,1,3,57,False,42.0029,9.0
0,1,3,58,False,42.2511,9.0
0,1,3,59,False,42.4939,9.0
0,1,3,60,False,42.7542,9.0
0,1,3,61,False,43.0159,9.0
0,1,3,62,False,43.3452,9.0
0,1,3,63,False,43.6612,9.0
0,1,3,64,False,43.8901,9.0
0,1,3,65,False,44.1292,9.0
0,1,3,66,False,44.3687,9.0
0,1,3,67,False,44.6183,9.0
0,1,3,68,False,44.8807,9.0
0,1,3,69,True,45.1723,9.0
0,1,3,70,False,45.6047,9.0
0,1,3,71,False,46.1601,9.0
0,1,3,72,False,46.6028,9.0
0,1,3,73,False,46.8933,9.0
0,1,3,74,False,47.2611,9.0
0,1,3,75,False,47.5454,9.0
0,1,3,76,False,47.946,9.0
0,1,3,77,False,48.4197,9.0
0,1,3,78,False,48.8902,9.0
0,1,3,79,False,49.2689,9.0
0,1,3,80,False,49.6355,9.0
0,1,3,81,False,50.0747,9.0
0,1,3,82,False,50.5226,9.0
0,1,3,83,False,50.8513,9.0
0,1,3,84,False,51.175,9.0
0,1,3,85,False,51.5571,9.0
0,1,3,86,False,52.0239,9.0
0,1,3,87,False,52.95,9.0
0,1,3,88,False,53.5201,9.0
0,1,3,89,False,54.1852,9.0
0,1,3,90,False,54.7604,9.0
0,1,3,91,False,55.3426,9.0
0,1,3,92,False,55.8216,9.0
0,1,3,93,False,56.2647,9.0
0,1,3,94,False,56.6232,9.0
0,1,3,95,False,56.9664,9.0
0,1,3,96,False,57.4017,9.0
0,1,3,97,False,57.8471,9.0
0,1,3,98,False,58.4957,9.0
0,1,3,99,False,58.8882,9.0
0,1,3,100,False,59.3775,9.0
0,1,3,101,False,60.224,9.0
0,1,3,102,False,60.904,9.0
0,1,3,103,False,61.679,9.0
0,1,3,104,False,62.0318,9.0
0,1,3,105,False,62.327,9.0
0,1,3,106,False,62.7046,9.0
0,1,3,107,False,63.0564,9.0
0,1,3,108,False,63.6806,9.0
0,1,3,109,False,64.1901,9.0
0,1,3,110,False,64.6272,9.0
0,1,3,111,False,65.1519,9.0
0,1,3,112,False,65.6084,9.0
0,1,3,113,False,66.0328,9.0
0,1,3,114,False,66.5102,9.0
0,1,3,115,False,66.8406,9.0
0,2,3,0,True,67.0809,9.0
0,2,3,1,False,67.3505,9.0
0,2,3,2,False,67.6125,9.0
0,2,3,3,False,68.1267,9.0
0,2,3,4,False,68.5214,9.0
0,2,3,5,False,69.0013,9.0
0,2,3,6,False,69.8721,9.0
0,2,3,7,False,70.2117,9.0
0,2,3,8,False,70.7423,9.0
0,2,3,9,False,71.5294,9.0
