driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
0,73600,670809.0,1,1,14.0,56641.0,99.9992159498208,96.82790098566308,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.41355846774194,0.0,10000.0,0.0,56627.0,59.7209,9,9
1,73600,646407.0,1,1,14.0,58203.0,99.9992159498208,96.74042338709677,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.36981966845877,0.0,10000.0,0.0,58189.0,57.2807,3,3
2,73600,667959.0,1,2,14.0,55781.0,99.99941196236558,97.65704805107526,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.82823000672042,0.0,10000.0,0.0,55767.0,59.4359,8,8
3,73600,640001.0,1,1,14.0,61637.0,99.9992159498208,96.54810707885305,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.27366151433692,0.0,10000.0,0.0,61623.0,56.6401,2,2
4,73600,659520.0,1,1,14.0,60031.0,99.9992159498208,96.63804883512545,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.31863239247312,0.0,10000.0,0.0,60017.0,58.592,6,6
5,73600,653979.0,1,1,14.0,59997.0,99.9992159498208,96.63995295698925,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.31958445340501,0.0,10000.0,0.0,59983.0,58.0379,5,5
6,73600,651233.0,1,1,14.0,60311.0,99.9992159498208,96.62236783154123,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.310791890681,0.0,10000.0,0.0,60297.0,57.7633,4,4
7,73600,674325.0,1,1,14.0,54836.0,99.9992159498208,96.92898745519713,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.46410170250897,0.0,10000.0,0.0,54822.0,60.0725,10,10
8,73600,634171.0,1,1,14.0,60694.0,99.9992159498208,96.60091845878136,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.30006720430109,0.0,10000.0,0.0,60680.0,56.0571,1,1
9,73600,664483.0,1,2,14.0,57264.0,99.99941196236558,97.59475806451613,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.79708501344086,0.0,10000.0,0.0,57250.0,59.0883,7,7
10,73600,709840.0,1,1,14.0,64904.0,99.9992159498208,96.36514336917563,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.18217965949822,0.0,10000.0,0.0,64890.0,63.624,19,18
11,73600,688237.0,1,2,14.0,64553.0,99.99941196236558,97.28860047043011,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.64400621639786,0.0,10000.0,0.0,64539.0,61.4637,15,14
12,73600,773546.0,1,1,14.0,67599.0,99.9992159498208,96.21421370967742,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.10671482974911,0.0,10000.0,0.0,67585.0,69.9946,20,20
13,73600,691664.0,1,1,14.0,62700.0,99.9992159498208,96.4885752688172,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.243895609319,0.0,10000.0,0.0,62686.0,61.8064,16,16
14,73600,681061.0,1,1,14.0,60961.0,99.9992159498208,96.58596550179212,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.29259072580646,0.0,10000.0,0.0,60947.0,60.7461,12,12
15,73600,687361.0,1,2,14.0,55042.0,99.99941196236558,97.68808803763442,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.84375,0.0,10000.0,0.0,55028.0,61.3761,13,13
16,73600,689171.0,1,1,14.0,55374.0,99.9992159498208,96.89885752688173,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.44903673835125,0.0,10000.0,0.0,55360.0,61.5571,14,15
17,73600,698223.0,1,2,14.0,75027.0,99.99941196236558,96.84866431451613,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.42403813844086,0.0,10000.0,0.0,75013.0,62.4623,17,17
18,73600,677753.0,1,1,14.0,59682.0,99.9992159498208,96.6575940860215,0.0,0.0,0.0,0.0,10000,10000.0,False,False,98.32840501792114,0.0,10000.0,0.0,59668.0,60.4153,11,11
